item,category,iso_year,iso_week,days_to_avurudu,festival_season,avg_wholesale_price_rs,avg_retail_price_rs,lag1_units,lag4_units,rolling4_mean_units,weekend_share,target_units_sold
Red Dhal,Grocery/Staple,2022,34,235,0,186.96,224.35,81,52,55.8,0.29,57
Red Dhal,Grocery/Staple,2022,35,228,0,191.97,230.36,57,50,57,0.29,67
Red Dhal,Grocery/Staple,2022,36,221,0,197.44,236.93,67,40,61.2,0.29,36
Red Dhal,Grocery/Staple,2022,37,214,0,199.21,239.05,36,81,60.2,0.29,88
Red Dhal,Grocery/Staple,2022,38,207,0,203.37,244.04,88,57,62,0.29,85
Red Dhal,Grocery/Staple,2022,39,200,0,206.39,247.67,85,67,69,0.29,78
Red Dhal,Grocery/Staple,2022,40,193,0,210.36,252.43,78,36,71.8,0.29,26
Red Dhal,Grocery/Staple,2022,41,186,0,213.32,255.98,26,88,69.2,0.29,64
Red Dhal,Grocery/Staple,2022,42,179,0,216.92,260.3,64,85,63.2,0.29,62
Red Dhal,Grocery/Staple,2022,43,172,0,221.31,265.57,62,78,57.5,0.29,70
Red Dhal,Grocery/Staple,2022,44,165,0,221.52,265.82,70,26,55.5,0.29,63
Red Dhal,Grocery/Staple,2022,45,158,0,227.9,273.48,63,64,64.8,0.29,54
Red Dhal,Grocery/Staple,2022,46,151,0,229.55,275.46,54,62,62.2,0.29,56
Red Dhal,Grocery/Staple,2022,47,144,0,232.35,278.82,56,70,60.8,0.29,34
Red Dhal,Grocery/Staple,2022,48,137,0,236.19,283.43,34,63,51.8,0.29,58
Red Dhal,Grocery/Staple,2022,49,130,0,242.39,290.87,58,54,50.5,0.29,65
Red Dhal,Grocery/Staple,2022,50,123,0,247.16,296.59,65,56,53.2,0.29,51
Red Dhal,Grocery/Staple,2022,51,116,0,250.86,301.03,51,34,52,0.29,66
Red Dhal,Grocery/Staple,2022,52,109,0,252.26,302.71,66,58,60,0.29,55
Red Dhal,Grocery/Staple,2023,1,102,0,256.15,307.38,55,65,59.2,0.29,56
Red Dhal,Grocery/Staple,2023,2,95,0,259.95,311.94,56,51,57,0.29,45
Red Dhal,Grocery/Staple,2023,3,88,0,258.0,309.6,45,66,55.5,0.29,45
Red Dhal,Grocery/Staple,2023,4,81,0,265.95,319.14,45,55,50.2,0.29,56
Red Dhal,Grocery/Staple,2023,5,74,0,268.53,322.24,56,56,50.5,0.29,67
Red Dhal,Grocery/Staple,2023,6,67,0,270.5,324.6,67,45,53.2,0.29,52
Red Dhal,Grocery/Staple,2023,7,60,0,270.42,324.5,52,45,55,0.29,57
Red Dhal,Grocery/Staple,2023,8,53,0,275.95,331.14,57,56,58,0.29,56
Red Dhal,Grocery/Staple,2023,9,46,0,278.65,334.38,56,67,58,0.29,58
Red Dhal,Grocery/Staple,2023,10,39,0,278.36,334.03,58,52,55.8,0.29,81
Red Dhal,Grocery/Staple,2023,11,32,0,277.38,332.86,81,57,63,0.29,55
Red Dhal,Grocery/Staple,2023,12,25,0,273.51,328.21,55,56,62.5,0.29,68
Red Dhal,Grocery/Staple,2023,13,18,1,274.3,329.16,68,58,65.5,0.29,52
Red Dhal,Grocery/Staple,2023,14,11,1,277.82,333.38,52,81,64,0.29,90
Red Dhal,Grocery/Staple,2023,15,4,1,282.88,339.46,90,55,66.2,0.29,180
Red Dhal,Grocery/Staple,2023,16,363,0,273.16,327.79,180,68,97.5,0.29,68
Red Dhal,Grocery/Staple,2023,17,356,0,269.37,323.24,68,52,97.5,0.29,49
Red Dhal,Grocery/Staple,2023,18,349,0,269.33,323.2,49,90,96.8,0.29,63
Red Dhal,Grocery/Staple,2023,19,342,0,268.99,322.79,63,180,90,0.29,55
Red Dhal,Grocery/Staple,2023,20,335,0,267.57,321.08,55,68,58.8,0.29,57
Red Dhal,Grocery/Staple,2023,21,328,0,265.36,318.43,57,49,56,0.29,56
Red Dhal,Grocery/Staple,2023,22,321,0,267.1,320.52,56,63,57.8,0.29,59
Red Dhal,Grocery/Staple,2023,23,314,0,267.43,320.92,59,55,56.8,0.29,61
Red Dhal,Grocery/Staple,2023,24,307,0,267.16,320.59,61,57,58.2,0.29,52
Red Dhal,Grocery/Staple,2023,25,300,0,264.81,317.77,52,56,57,0.29,48
Red Dhal,Grocery/Staple,2023,26,293,0,264.99,317.99,48,59,55,0.29,73
Red Dhal,Grocery/Staple,2023,27,286,0,264.49,317.39,73,61,58.5,0.29,47
Red Dhal,Grocery/Staple,2023,28,279,0,264.77,317.72,47,52,55,0.29,59
Red Dhal,Grocery/Staple,2023,29,272,0,262.91,315.49,59,48,56.8,0.29,80
Red Dhal,Grocery/Staple,2023,30,265,0,264.34,317.21,80,73,64.8,0.29,56
Red Dhal,Grocery/Staple,2023,31,258,0,262.22,314.66,56,47,60.5,0.29,51
Red Dhal,Grocery/Staple,2023,32,251,0,256.49,307.79,51,59,61.5,0.29,48
Red Dhal,Grocery/Staple,2023,33,244,0,261.55,313.86,48,80,58.8,0.29,42
Red Dhal,Grocery/Staple,2023,34,237,0,256.81,308.17,42,56,49.2,0.29,58
Red Dhal,Grocery/Staple,2023,35,230,0,259.88,311.86,58,51,49.8,0.29,72
Red Dhal,Grocery/Staple,2023,36,223,0,255.99,307.19,72,48,55,0.29,38
Red Dhal,Grocery/Staple,2023,37,216,0,258.1,309.72,38,42,52.5,0.29,54
Red Dhal,Grocery/Staple,2023,38,209,0,252.4,302.88,54,58,55.5,0.29,36
Red Dhal,Grocery/Staple,2023,39,202,0,255.79,306.95,36,72,50,0.29,44
Red Dhal,Grocery/Staple,2023,40,195,0,252.31,302.77,44,38,43,0.29,46
Red Dhal,Grocery/Staple,2023,41,188,0,254.17,305.0,46,54,45,0.29,52
Red Dhal,Grocery/Staple,2023,42,181,0,254.94,305.93,52,36,44.5,0.29,69
Red Dhal,Grocery/Staple,2023,43,174,0,249.2,299.04,69,44,52.8,0.29,47
Red Dhal,Grocery/Staple,2023,44,167,0,251.64,301.97,47,46,53.5,0.29,53
Red Dhal,Grocery/Staple,2023,45,160,0,249.87,299.84,53,52,55.2,0.29,37
Red Dhal,Grocery/Staple,2023,46,153,0,252.06,302.47,37,69,51.5,0.29,64
Red Dhal,Grocery/Staple,2023,47,146,0,247.62,297.14,64,47,50.2,0.29,70
Red Dhal,Grocery/Staple,2023,48,139,0,246.0,295.2,70,53,56,0.29,46
Red Dhal,Grocery/Staple,2023,49,132,0,242.13,290.56,46,37,54.2,0.29,67
Red Dhal,Grocery/Staple,2023,50,125,0,243.67,292.4,67,64,61.8,0.29,58
Red Dhal,Grocery/Staple,2023,51,118,0,244.89,293.87,58,70,60.2,0.29,51
Red Dhal,Grocery/Staple,2023,52,111,0,245.64,294.77,51,46,55.5,0.29,72
Red Dhal,Grocery/Staple,2024,1,104,0,241.65,289.98,72,67,62,0.29,48
Red Dhal,Grocery/Staple,2024,2,97,0,242.73,291.28,48,58,57.2,0.29,60
Red Dhal,Grocery/Staple,2024,3,90,0,241.75,290.1,60,51,57.8,0.29,69
Red Dhal,Grocery/Staple,2024,4,83,0,244.45,293.34,69,72,62.2,0.29,66
Red Dhal,Grocery/Staple,2024,5,76,0,242.75,291.3,66,48,60.8,0.29,45
Red Dhal,Grocery/Staple,2024,6,69,0,242.48,290.98,45,60,60,0.29,62
Red Dhal,Grocery/Staple,2024,7,62,0,244.31,293.17,62,69,60.5,0.29,61
Red Dhal,Grocery/Staple,2024,8,55,0,243.97,292.76,61,66,58.5,0.29,56
Red Dhal,Grocery/Staple,2024,9,48,0,240.4,288.48,56,45,56,0.29,65
Red Dhal,Grocery/Staple,2024,10,41,0,242.49,290.99,65,62,61,0.29,58
Red Dhal,Grocery/Staple,2024,11,34,0,240.94,289.13,58,61,60,0.29,42
Red Dhal,Grocery/Staple,2024,12,27,0,241.31,289.57,42,56,55.2,0.29,65
Red Dhal,Grocery/Staple,2024,13,20,1,237.93,285.52,65,65,57.5,0.29,52
Red Dhal,Grocery/Staple,2024,14,13,1,247.53,297.04,52,58,54.2,0.29,122
Red Dhal,Grocery/Staple,2024,15,6,1,255.75,306.9,122,42,70.2,0.29,180
Red Dhal,Grocery/Staple,2024,16,364,0,241.93,290.32,180,65,104.8,0.29,67
Red Dhal,Grocery/Staple,2024,17,357,0,239.24,287.09,67,52,105.2,0.29,44
Red Dhal,Grocery/Staple,2024,18,350,0,244.16,292.99,44,122,103.2,0.29,60
Red Dhal,Grocery/Staple,2024,19,343,0,239.92,287.9,60,180,87.8,0.29,57
Red Dhal,Grocery/Staple,2024,20,336,0,240.35,288.42,57,67,57,0.29,33
Red Dhal,Grocery/Staple,2024,21,329,0,239.5,287.4,33,44,48.5,0.29,61
Red Dhal,Grocery/Staple,2024,22,322,0,237.81,285.37,61,60,52.8,0.29,79
Red Dhal,Grocery/Staple,2024,23,315,0,240.93,289.12,79,57,57.5,0.29,61
Red Dhal,Grocery/Staple,2024,24,308,0,240.22,288.26,61,33,58.5,0.29,51
Red Dhal,Grocery/Staple,2024,25,301,0,239.86,287.83,51,61,63,0.29,56
Red Dhal,Grocery/Staple,2024,26,294,0,242.5,291.0,56,79,61.8,0.29,71
Red Dhal,Grocery/Staple,2024,27,287,0,239.01,286.81,71,61,59.8,0.29,50
Red Dhal,Grocery/Staple,2024,28,280,0,242.66,291.19,50,51,57,0.29,53
Red Dhal,Grocery/Staple,2024,29,273,0,241.46,289.75,53,56,57.5,0.29,67
Red Dhal,Grocery/Staple,2024,30,266,0,241.21,289.45,67,71,60.2,0.29,49
Red Dhal,Grocery/Staple,2024,31,259,0,240.54,288.65,49,50,54.8,0.29,61
Red Dhal,Grocery/Staple,2024,32,252,0,244.71,293.65,61,53,57.5,0.29,66
Red Dhal,Grocery/Staple,2024,33,245,0,242.01,290.41,66,67,60.8,0.29,50
Red Dhal,Grocery/Staple,2024,34,238,0,243.22,291.86,50,49,56.5,0.29,59
Red Dhal,Grocery/Staple,2024,35,231,0,243.28,291.94,59,61,59,0.29,55
Red Dhal,Grocery/Staple,2024,36,224,0,243.19,291.83,55,66,57.5,0.29,53
Red Dhal,Grocery/Staple,2024,37,217,0,242.42,290.9,53,50,54.2,0.29,57
Red Dhal,Grocery/Staple,2024,38,210,0,244.41,293.29,57,59,56,0.29,63
Red Dhal,Grocery/Staple,2024,39,203,0,239.75,287.7,63,55,57,0.29,46
Red Dhal,Grocery/Staple,2024,40,196,0,244.7,293.64,46,53,54.8,0.29,69
Red Dhal,Grocery/Staple,2024,41,189,0,243.31,291.97,69,57,58.8,0.29,53
Red Dhal,Grocery/Staple,2024,42,182,0,242.59,291.11,53,63,57.8,0.29,50
Red Dhal,Grocery/Staple,2024,43,175,0,245.31,294.37,50,46,54.5,0.29,67
Red Dhal,Grocery/Staple,2024,44,168,0,243.79,292.55,67,69,59.8,0.29,54
Red Dhal,Grocery/Staple,2024,45,161,0,244.03,292.84,54,53,56,0.29,53
Red Dhal,Grocery/Staple,2024,46,154,0,243.48,292.18,53,50,56,0.29,79
Red Dhal,Grocery/Staple,2024,47,147,0,244.59,293.51,79,67,63.2,0.29,75
Red Dhal,Grocery/Staple,2024,48,140,0,247.1,296.52,75,54,65.2,0.29,47
Red Dhal,Grocery/Staple,2024,49,133,0,242.38,290.86,47,53,63.5,0.29,43
Red Dhal,Grocery/Staple,2024,50,126,0,246.42,295.7,43,79,61,0.29,68
Red Dhal,Grocery/Staple,2024,51,119,0,246.32,295.58,68,75,58.2,0.29,68
Red Dhal,Grocery/Staple,2024,52,112,0,245.65,294.78,68,47,56.5,0.29,44
Red Dhal,Grocery/Staple,2025,1,105,0,244.4,293.28,44,43,55.8,0.29,62
Red Dhal,Grocery/Staple,2025,2,98,0,247.85,297.42,62,68,60.5,0.29,65
Red Dhal,Grocery/Staple,2025,3,91,0,248.06,297.67,65,68,59.8,0.29,87
Red Dhal,Grocery/Staple,2025,4,84,0,246.32,295.58,87,44,64.5,0.29,51
Red Dhal,Grocery/Staple,2025,5,77,0,241.62,289.94,51,62,66.2,0.29,65
Red Dhal,Grocery/Staple,2025,6,70,0,244.36,293.23,65,65,67,0.29,55
Red Dhal,Grocery/Staple,2025,7,63,0,245.18,294.22,55,87,64.5,0.29,51
Red Dhal,Grocery/Staple,2025,8,56,0,246.02,295.22,51,51,55.5,0.29,43
Red Dhal,Grocery/Staple,2025,9,49,0,242.11,290.53,43,65,53.5,0.29,47
Red Dhal,Grocery/Staple,2025,10,42,0,245.93,295.12,47,55,49,0.29,70
Red Dhal,Grocery/Staple,2025,11,35,0,243.75,292.5,70,51,52.8,0.29,53
Red Dhal,Grocery/Staple,2025,12,28,0,246.83,296.2,53,43,53.2,0.29,57
Red Dhal,Grocery/Staple,2025,13,21,1,244.74,293.69,57,47,56.8,0.29,68
Red Dhal,Grocery/Staple,2025,14,14,1,248.61,298.33,68,70,62,0.29,87
Red Dhal,Grocery/Staple,2025,15,7,1,258.75,310.5,87,53,66.2,0.29,115
Red Dhal,Grocery/Staple,2025,16,0,1,248.48,298.18,115,57,81.8,0.29,133
Red Dhal,Grocery/Staple,2025,17,358,0,243.06,291.67,133,68,100.8,0.29,47
Red Dhal,Grocery/Staple,2025,18,351,0,248.06,297.67,47,87,95.5,0.29,77
Red Dhal,Grocery/Staple,2025,19,344,0,247.0,296.4,77,115,93,0.29,67
Red Dhal,Grocery/Staple,2025,20,337,0,247.36,296.83,67,133,81,0.29,88
Red Dhal,Grocery/Staple,2025,21,330,0,246.12,295.34,88,47,69.8,0.29,59
Red Dhal,Grocery/Staple,2025,22,323,0,245.84,295.01,59,77,72.8,0.29,54
Red Dhal,Grocery/Staple,2025,23,316,0,245.72,294.86,54,67,67,0.29,71
Red Dhal,Grocery/Staple,2025,24,309,0,248.51,298.21,71,88,68,0.29,54
Red Dhal,Grocery/Staple,2025,25,302,0,247.82,297.38,54,59,59.5,0.29,55
Red Dhal,Grocery/Staple,2025,26,295,0,244.9,293.88,55,54,58.5,0.29,37
Red Dhal,Grocery/Staple,2025,27,288,0,247.62,297.14,37,71,54.2,0.29,53
Red Dhal,Grocery/Staple,2025,28,281,0,246.1,295.32,53,54,49.8,0.29,64
Red Dhal,Grocery/Staple,2025,29,274,0,247.38,296.86,64,55,52.2,0.29,69
Red Dhal,Grocery/Staple,2025,30,267,0,245.33,294.4,69,37,55.8,0.29,47
Red Dhal,Grocery/Staple,2025,31,260,0,246.02,295.22,47,53,58.2,0.29,71
Red Dhal,Grocery/Staple,2025,32,253,0,246.99,296.39,71,64,62.8,0.29,51
Red Dhal,Grocery/Staple,2025,33,246,0,250.95,301.14,51,69,59.5,0.29,55
Red Dhal,Grocery/Staple,2025,34,239,0,244.51,293.41,55,47,56,0.29,48
Red Dhal,Grocery/Staple,2025,35,232,0,247.56,297.07,48,71,56.2,0.29,42
Red Dhal,Grocery/Staple,2025,36,225,0,245.79,294.95,42,51,49,0.29,57
Red Dhal,Grocery/Staple,2025,37,218,0,249.78,299.74,57,55,50.5,0.29,56
Red Dhal,Grocery/Staple,2025,38,211,0,244.7,293.64,56,48,50.8,0.29,59
Red Dhal,Grocery/Staple,2025,39,204,0,248.69,298.43,59,42,53.5,0.29,79
Red Dhal,Grocery/Staple,2025,40,197,0,247.86,297.43,79,57,62.8,0.29,59
Red Dhal,Grocery/Staple,2025,41,190,0,247.9,297.48,59,56,63.2,0.29,75
Red Dhal,Grocery/Staple,2025,42,183,0,245.21,294.25,75,59,68,0.29,58
Red Dhal,Grocery/Staple,2025,43,176,0,245.63,294.76,58,79,67.8,0.29,58
Red Dhal,Grocery/Staple,2025,44,169,0,249.54,299.45,58,59,62.5,0.29,54
Red Dhal,Grocery/Staple,2025,45,162,0,245.59,294.71,54,75,61.2,0.29,85
Red Dhal,Grocery/Staple,2025,46,155,0,247.07,296.48,85,58,63.8,0.29,39
Red Dhal,Grocery/Staple,2025,47,148,0,247.29,296.75,39,58,59,0.29,78
Red Dhal,Grocery/Staple,2025,48,141,0,248.8,298.56,78,54,64,0.29,72
Red Dhal,Grocery/Staple,2025,49,134,0,246.72,296.06,72,85,68.5,0.29,62
Red Dhal,Grocery/Staple,2025,50,127,0,249.14,298.97,62,39,62.8,0.29,76
Red Dhal,Grocery/Staple,2025,51,120,0,247.78,297.34,76,78,72,0.29,49
Red Dhal,Grocery/Staple,2025,52,113,0,247.02,296.42,49,72,64.8,0.29,68
Red Dhal,Grocery/Staple,2026,1,106,0,249.45,299.34,68,62,63.8,0.29,60
Red Dhal,Grocery/Staple,2026,2,99,0,246.67,296.0,60,76,63.2,0.29,51
Red Dhal,Grocery/Staple,2026,3,92,0,248.58,298.3,51,49,57,0.29,65
Red Dhal,Grocery/Staple,2026,4,85,0,246.3,295.56,65,68,61,0.29,79
Red Dhal,Grocery/Staple,2026,5,78,0,247.49,296.99,79,60,63.8,0.29,36
Red Dhal,Grocery/Staple,2026,6,71,0,246.78,296.14,36,51,57.8,0.29,67
Red Dhal,Grocery/Staple,2026,7,64,0,248.94,298.73,67,65,61.8,0.29,64
Red Dhal,Grocery/Staple,2026,8,57,0,247.58,297.1,64,79,61.5,0.29,82
Red Dhal,Grocery/Staple,2026,9,50,0,246.53,295.84,82,36,62.2,0.29,98
Red Dhal,Grocery/Staple,2026,10,43,0,248.58,298.3,98,67,77.8,0.29,72
Red Dhal,Grocery/Staple,2026,11,36,0,246.13,295.36,72,64,79,0.29,40
Red Dhal,Grocery/Staple,2026,12,29,0,246.7,296.04,40,82,73,0.29,90
Red Dhal,Grocery/Staple,2026,13,22,0,246.58,295.9,90,98,75,0.29,74
Red Dhal,Grocery/Staple,2026,14,15,1,246.13,295.36,74,72,69,0.29,79
Red Dhal,Grocery/Staple,2026,15,8,1,259.01,310.81,79,40,70.8,0.29,117
Red Dhal,Grocery/Staple,2026,16,1,1,251.97,302.36,117,90,90,0.29,140
Red Dhal,Grocery/Staple,2026,17,359,0,247.73,297.28,140,74,102.5,0.29,69
Red Dhal,Grocery/Staple,2026,18,352,0,247.22,296.66,69,79,101.2,0.29,51
Red Dhal,Grocery/Staple,2026,19,345,0,246.7,296.04,51,117,94.2,0.29,54
Red Dhal,Grocery/Staple,2026,20,338,0,246.49,295.79,54,140,78.5,0.29,58
Red Dhal,Grocery/Staple,2026,21,331,0,246.91,296.29,58,69,58,0.29,61
Red Dhal,Grocery/Staple,2026,22,324,0,249.09,298.91,61,51,56,0.29,81
Red Dhal,Grocery/Staple,2026,23,317,0,250.63,300.76,81,54,63.5,0.29,56
Red Dhal,Grocery/Staple,2026,24,310,0,251.41,301.69,56,58,64,0.0,22
Green Gram,Grocery/Staple,2022,24,305,0,471.57,565.88,31,31,31,0.29,31
Green Gram,Grocery/Staple,2022,25,298,0,483.16,579.79,31,34,31,0.29,34
Green Gram,Grocery/Staple,2022,26,291,0,500.2,600.24,34,28,32.5,0.29,28
Green Gram,Grocery/Staple,2022,27,284,0,509.62,611.54,28,28,31,0.29,28
Green Gram,Grocery/Staple,2022,28,277,0,528.94,634.73,28,31,30.2,0.29,22
Green Gram,Grocery/Staple,2022,29,270,0,536.19,643.43,22,34,28,0.29,23
Green Gram,Grocery/Staple,2022,30,263,0,545.23,654.28,23,28,25.2,0.29,17
Green Gram,Grocery/Staple,2022,31,256,0,566.63,679.96,17,28,22.5,0.29,15
Green Gram,Grocery/Staple,2022,32,249,0,570.85,685.02,15,22,19.2,0.29,13
Green Gram,Grocery/Staple,2022,33,242,0,579.68,695.62,13,23,17,0.29,20
Green Gram,Grocery/Staple,2022,34,235,0,591.18,709.42,20,17,16.2,0.29,25
Green Gram,Grocery/Staple,2022,35,228,0,613.48,736.18,25,15,18.2,0.29,19
Green Gram,Grocery/Staple,2022,36,221,0,615.52,738.62,19,13,19.2,0.29,19
Green Gram,Grocery/Staple,2022,37,214,0,632.62,759.14,19,20,20.8,0.29,32
Green Gram,Grocery/Staple,2022,38,207,0,647.4,776.88,32,25,23.8,0.29,13
Green Gram,Grocery/Staple,2022,39,200,0,658.02,789.62,13,19,20.8,0.29,16
Green Gram,Grocery/Staple,2022,40,193,0,660.64,792.77,16,19,20,0.29,11
Green Gram,Grocery/Staple,2022,41,186,0,676.3,811.56,11,32,18,0.29,25
Green Gram,Grocery/Staple,2022,42,179,0,681.26,817.51,25,13,16.2,0.29,24
Green Gram,Grocery/Staple,2022,43,172,0,700.39,840.47,24,16,19,0.29,22
Green Gram,Grocery/Staple,2022,44,165,0,699.31,839.17,22,11,20.5,0.29,18
Green Gram,Grocery/Staple,2022,45,158,0,715.65,858.78,18,25,22.2,0.29,22
Green Gram,Grocery/Staple,2022,46,151,0,724.24,869.09,22,24,21.5,0.29,23
Green Gram,Grocery/Staple,2022,47,144,0,736.53,883.84,23,22,21.2,0.29,25
Green Gram,Grocery/Staple,2022,48,137,0,748.5,898.2,25,18,22,0.29,25
Green Gram,Grocery/Staple,2022,49,130,0,751.33,901.6,25,22,23.8,0.29,26
Green Gram,Grocery/Staple,2022,50,123,0,768.12,921.74,26,23,24.8,0.29,35
Green Gram,Grocery/Staple,2022,51,116,0,785.65,942.78,35,25,27.8,0.29,12
Green Gram,Grocery/Staple,2022,52,109,0,797.24,956.69,12,25,24.5,0.29,23
Green Gram,Grocery/Staple,2023,1,102,0,795.67,954.8,23,26,24,0.29,25
Green Gram,Grocery/Staple,2023,2,95,0,805.85,967.02,25,35,23.8,0.29,25
Green Gram,Grocery/Staple,2023,3,88,0,821.9,986.28,25,12,21.2,0.29,23
Green Gram,Grocery/Staple,2023,4,81,0,823.27,987.92,23,23,24,0.29,22
Green Gram,Grocery/Staple,2023,5,74,0,843.41,1012.09,22,25,23.8,0.29,22
Green Gram,Grocery/Staple,2023,6,67,0,844.47,1013.36,22,25,23,0.29,17
Green Gram,Grocery/Staple,2023,7,60,0,849.7,1019.64,17,23,21,0.29,24
Green Gram,Grocery/Staple,2023,8,53,0,864.35,1037.22,24,22,21.2,0.29,15
Green Gram,Grocery/Staple,2023,9,46,0,878.13,1053.76,15,22,19.5,0.29,18
Green Gram,Grocery/Staple,2023,10,39,0,868.09,1041.71,18,17,18.5,0.29,11
Green Gram,Grocery/Staple,2023,11,32,0,861.66,1033.99,11,24,17,0.29,16
Green Gram,Grocery/Staple,2023,12,25,0,855.55,1026.66,16,15,15,0.29,20
Green Gram,Grocery/Staple,2023,13,18,1,871.86,1046.23,20,18,16.2,0.29,22
Green Gram,Grocery/Staple,2023,14,11,1,888.52,1066.22,22,11,17.2,0.29,45
Green Gram,Grocery/Staple,2023,15,4,1,881.15,1057.38,45,16,25.8,0.29,63
Green Gram,Grocery/Staple,2023,16,363,0,844.48,1013.38,63,20,37.5,0.29,23
Green Gram,Grocery/Staple,2023,17,356,0,845.85,1015.02,23,22,38.2,0.29,20
Green Gram,Grocery/Staple,2023,18,349,0,852.48,1022.98,20,45,37.8,0.29,25
Green Gram,Grocery/Staple,2023,19,342,0,844.34,1013.21,25,63,32.8,0.29,21
Green Gram,Grocery/Staple,2023,20,335,0,850.6,1020.72,21,23,22.2,0.29,32
Green Gram,Grocery/Staple,2023,21,328,0,838.28,1005.94,32,20,24.5,0.29,18
Green Gram,Grocery/Staple,2023,22,321,0,845.73,1014.88,18,25,24,0.29,23
Green Gram,Grocery/Staple,2023,23,314,0,841.78,1010.14,23,21,23.5,0.29,24
Green Gram,Grocery/Staple,2023,24,307,0,834.12,1000.94,24,32,24.2,0.29,20
Green Gram,Grocery/Staple,2023,25,300,0,830.69,996.83,20,18,21.2,0.29,28
Green Gram,Grocery/Staple,2023,26,293,0,840.01,1008.01,28,23,23.8,0.29,21
Green Gram,Grocery/Staple,2023,27,286,0,824.28,989.14,21,24,23.2,0.29,22
Green Gram,Grocery/Staple,2023,28,279,0,829.07,994.88,22,20,22.8,0.29,24
Green Gram,Grocery/Staple,2023,29,272,0,835.67,1002.8,24,28,23.8,0.29,17
Green Gram,Grocery/Staple,2023,30,265,0,824.63,989.56,17,21,21,0.29,31
Green Gram,Grocery/Staple,2023,31,258,0,817.27,980.72,31,22,23.5,0.29,19
Green Gram,Grocery/Staple,2023,32,251,0,821.22,985.46,19,24,22.8,0.29,18
Green Gram,Grocery/Staple,2023,33,244,0,823.29,987.95,18,17,21.2,0.29,23
Green Gram,Grocery/Staple,2023,34,237,0,808.72,970.46,23,31,22.8,0.29,22
Green Gram,Grocery/Staple,2023,35,230,0,807.74,969.29,22,19,20.5,0.29,16
Green Gram,Grocery/Staple,2023,36,223,0,812.13,974.56,16,18,19.8,0.29,25
Green Gram,Grocery/Staple,2023,37,216,0,800.95,961.14,25,23,21.5,0.29,24
Green Gram,Grocery/Staple,2023,38,209,0,797.1,956.52,24,22,21.8,0.29,30
Green Gram,Grocery/Staple,2023,39,202,0,797.82,957.38,30,16,23.8,0.29,20
Green Gram,Grocery/Staple,2023,40,195,0,797.93,957.52,20,25,24.8,0.29,19
Green Gram,Grocery/Staple,2023,41,188,0,796.85,956.22,19,24,23.2,0.29,16
Green Gram,Grocery/Staple,2023,42,181,0,793.78,952.54,16,30,21.2,0.29,25
Green Gram,Grocery/Staple,2023,43,174,0,790.68,948.82,25,20,20,0.29,23
Green Gram,Grocery/Staple,2023,44,167,0,792.49,950.99,23,19,20.8,0.29,25
Green Gram,Grocery/Staple,2023,45,160,0,781.2,937.44,25,16,22.2,0.29,18
Green Gram,Grocery/Staple,2023,46,153,0,780.04,936.05,18,25,22.8,0.29,40
Green Gram,Grocery/Staple,2023,47,146,0,773.84,928.61,40,23,26.5,0.29,26
Green Gram,Grocery/Staple,2023,48,139,0,783.88,940.66,26,25,27.2,0.29,30
Green Gram,Grocery/Staple,2023,49,132,0,770.75,924.9,30,18,28.5,0.29,13
Green Gram,Grocery/Staple,2023,50,125,0,768.91,922.69,13,40,27.2,0.29,32
Green Gram,Grocery/Staple,2023,51,118,0,771.18,925.42,32,26,25.2,0.29,29
Green Gram,Grocery/Staple,2023,52,111,0,761.49,913.79,29,30,26,0.29,25
Green Gram,Grocery/Staple,2024,1,104,0,758.12,909.74,25,13,24.8,0.29,11
Green Gram,Grocery/Staple,2024,2,97,0,765.39,918.47,11,32,24.2,0.29,17
Green Gram,Grocery/Staple,2024,3,90,0,765.8,918.96,17,29,20.5,0.29,41
Green Gram,Grocery/Staple,2024,4,83,0,755.05,906.06,41,25,23.5,0.29,15
Green Gram,Grocery/Staple,2024,5,76,0,764.5,917.4,15,11,21,0.29,30
Green Gram,Grocery/Staple,2024,6,69,0,756.7,908.04,30,17,25.8,0.29,37
Green Gram,Grocery/Staple,2024,7,62,0,758.64,910.37,37,41,30.8,0.29,15
Green Gram,Grocery/Staple,2024,8,55,0,750.95,901.14,15,15,24.2,0.29,26
Green Gram,Grocery/Staple,2024,9,48,0,761.81,914.17,26,30,27,0.29,19
Green Gram,Grocery/Staple,2024,10,41,0,766.33,919.6,19,37,24.2,0.29,25
Green Gram,Grocery/Staple,2024,11,34,0,766.99,920.39,25,15,21.2,0.29,15
Green Gram,Grocery/Staple,2024,12,27,0,753.4,904.08,15,26,21.2,0.29,18
Green Gram,Grocery/Staple,2024,13,20,1,758.91,910.69,18,19,19.2,0.29,25
Green Gram,Grocery/Staple,2024,14,13,1,762.73,915.28,25,25,20.8,0.29,29
Green Gram,Grocery/Staple,2024,15,6,1,796.73,956.08,29,15,21.8,0.29,45
Green Gram,Grocery/Staple,2024,16,364,0,755.02,906.02,45,18,29.2,0.29,12
Green Gram,Grocery/Staple,2024,17,357,0,763.36,916.03,12,25,27.8,0.29,27
Green Gram,Grocery/Staple,2024,18,350,0,759.34,911.21,27,29,28.2,0.29,24
Green Gram,Grocery/Staple,2024,19,343,0,752.1,902.52,24,45,27,0.29,30
Green Gram,Grocery/Staple,2024,20,336,0,749.75,899.7,30,12,23.2,0.29,20
Green Gram,Grocery/Staple,2024,21,329,0,746.35,895.62,20,27,25.2,0.29,28
